"","chr_id","type","feature","start","stop","strand","gene_id","gene_version","gene_name","gene_source","gene_biotype","transcript_id","transcript_version","transcript_name","transcript_source","transcript_biotype","tag","transcript_support_level","exon_number","exon_id","exon_version","protein_id","protein_version","ccds_id","is_poisonous_exon"
"ENSG00000019144.1642925","11","havana","exon",118644072,118644691,"+","ENSG00000019144","19","PHLDB1","ensembl_havana","protein_coding","ENST00000530994","5","PHLDB1-218","havana","nonsense_mediated_decay",NA,"2","15","ENSE00002178440","1",NA,NA,NA,TRUE
"ENSG00000019144.1643024","11","havana","exon",118644072,118644691,"+","ENSG00000019144","19","PHLDB1","ensembl_havana","protein_coding","ENST00000528594","5","PHLDB1-214","havana","nonsense_mediated_decay",NA,"2","14","ENSE00002178440","1",NA,NA,NA,TRUE
"ENSG00000019505.1542533","11","ensembl_havana","exon",45269407,45269508,"-","ENSG00000019505","8","SYT13","ensembl_havana","protein_coding","ENST00000533332","1","SYT13-203","ensembl_havana","nonsense_mediated_decay","cds_start_NF","1","2","ENSE00002153351","1",NA,NA,NA,TRUE
"ENSG00000021461.1129292","7","havana","exon",99847488,99847659,"+","ENSG00000021461","16","CYP3A43","ensembl_havana","protein_coding","ENST00000436834","5","CYP3A43-209","havana","nonsense_mediated_decay",NA,"1","3","ENSE00003508284","1",NA,NA,NA,TRUE
"ENSG00000021461.1129393","7","havana","exon",99847488,99847614,"+","ENSG00000021461","16","CYP3A43","ensembl_havana","protein_coding","ENST00000433277","5","CYP3A43-207","havana","nonsense_mediated_decay",NA,"5","3","ENSE00001785424","1",NA,NA,NA,TRUE
"ENSG00000021461.1129447","7","havana","exon",99849979,99850099,"+","ENSG00000021461","16","CYP3A43","ensembl_havana","protein_coding","ENST00000434806","5","CYP3A43-208","havana","nonsense_mediated_decay",NA,"1","8","ENSE00003482379","1",NA,NA,NA,TRUE
"ENSG00000021574.293802","2","havana","exon",32077829,32077943,"+","ENSG00000021574","12","SPAST","ensembl_havana","protein_coding","ENST00000645400","1","SPAST-214","havana","nonsense_mediated_decay","cds_start_NF",NA,"2","ENSE00003818937","1",NA,NA,NA,TRUE
"ENSG00000021574.293903","2","havana","exon",32098801,32098891,"+","ENSG00000021574","12","SPAST","ensembl_havana","protein_coding","ENST00000643334","1","SPAST-210","havana","nonsense_mediated_decay","cds_start_NF",NA,"3","ENSE00003814975","1",NA,NA,NA,TRUE
"ENSG00000021762.1501877","11","havana","exon",3104193,3104251,"-","ENSG00000021762","20","OSBPL5","ensembl_havana","protein_coding","ENST00000471998","6","OSBPL5-206","havana","nonsense_mediated_decay",NA,"2","6","ENSE00003631902","1",NA,NA,NA,TRUE
"ENSG00000022355.898412","5","havana","exon",161873058,161873337,"+","ENSG00000022355","18","GABRA1","ensembl_havana","protein_coding","ENST00000637044","1","GABRA1-216","havana","nonsense_mediated_decay",NA,"5","5","ENSE00003798147","1",NA,NA,NA,TRUE
"ENSG00000022556.2779887","19","havana","exon",54976860,54976958,"+","ENSG00000022556","16","NLRP2","ensembl_havana","protein_coding","ENST00000539848","5","NLRP2-210","havana","nonsense_mediated_decay",NA,"5","4","ENSE00001727883","2",NA,NA,NA,TRUE
"ENSG00000022556.2780063","19","havana","exon",54990215,54990393,"+","ENSG00000022556","16","NLRP2","ensembl_havana","protein_coding","ENST00000543277","1","NLRP2-215","havana","nonsense_mediated_decay","cds_start_NF","3","3","ENSE00002219539","1",NA,NA,NA,TRUE
"ENSG00000022556.2780074","19","havana","exon",54989557,54989752,"+","ENSG00000022556","16","NLRP2","ensembl_havana","protein_coding","ENST00000381637","3","NLRP2-203","havana","nonsense_mediated_decay","cds_start_NF","5","2","ENSE00002311449","1",NA,NA,NA,TRUE
"ENSG00000022840.1916038","12","havana","exon",120574468,120574537,"+","ENSG00000022840","16","RNF10","ensembl_havana","protein_coding","ENST00000545419","5","RNF10-223","havana","nonsense_mediated_decay","cds_start_NF","5","7","ENSE00003462556","1",NA,NA,NA,TRUE
"ENSG00000022976.2073479","14","havana","exon",102336635,102336719,"+","ENSG00000022976","15","ZNF839","ensembl_havana","protein_coding","ENST00000559098","5","ZNF839-207","havana","nonsense_mediated_decay","cds_start_NF","2","6","ENSE00002562466","1",NA,NA,NA,TRUE
"ENSG00000023191.1491743","11","havana","exon",500484,500738,"-","ENSG00000023191","17","RNH1","ensembl_havana","protein_coding","ENST00000525701","5","RNH1-210","havana","nonsense_mediated_decay",NA,"5","3","ENSE00002199744","1",NA,NA,NA,TRUE
"ENSG00000023191.1491858","11","havana","exon",498457,498515,"-","ENSG00000023191","17","RNH1","ensembl_havana","protein_coding","ENST00000524464","5","RNH1-207","havana","nonsense_mediated_decay",NA,"5","4","ENSE00002152094","1",NA,NA,NA,TRUE
"ENSG00000023228.437516","2","havana","exon",206149780,206149925,"-","ENSG00000023228","14","NDUFS1","ensembl_havana","protein_coding","ENST00000456284","5","NDUFS1-208","havana","nonsense_mediated_decay",NA,"4","4","ENSE00001782146","1",NA,NA,NA,TRUE
"ENSG00000023572.212441","1","havana","exon",193095943,193096759,"-","ENSG00000023572","9","GLRX2","ensembl_havana","protein_coding","ENST00000608166","2","GLRX2-204","havana","nonsense_mediated_decay","CCDS","NA","4","ENSE00003816008","1",NA,NA,"CCDS1381",TRUE
"ENSG00000023697.1798487","12","havana","exon",15958240,15958335,"+","ENSG00000023697","13","DERA","ensembl_havana","protein_coding","ENST00000528821","5","DERA-205","havana","nonsense_mediated_decay",NA,"2","3","ENSE00002193224","1",NA,NA,NA,TRUE
"ENSG00000023839.1738046","10","havana","exon",99796363,99796853,"+","ENSG00000023839","12","ABCC2","ensembl_havana","protein_coding","ENST00000648324","1","ABCC2-205","havana","nonsense_mediated_decay",NA,NA,"7","ENSE00003840552","1",NA,NA,NA,TRUE
"ENSG00000023839.1738065","10","havana","exon",99793892,99794109,"+","ENSG00000023839","12","ABCC2","ensembl_havana","protein_coding","ENST00000649932","1","ABCC2-210","havana","nonsense_mediated_decay",NA,NA,"5","ENSE00003840086","1",NA,NA,NA,TRUE
"ENSG00000023839.1738098","10","havana","exon",99796391,99796853,"+","ENSG00000023839","12","ABCC2","ensembl_havana","protein_coding","ENST00000649493","1","ABCC2-209","havana","nonsense_mediated_decay",NA,NA,"7","ENSE00003834643","1",NA,NA,NA,TRUE
"ENSG00000023839.1738123","10","havana","exon",99849724,99849905,"+","ENSG00000023839","12","ABCC2","ensembl_havana","protein_coding","ENST00000648523","1","ABCC2-206","havana","nonsense_mediated_decay","cds_start_NF",NA,"3","ENSE00003840825","1",NA,NA,NA,TRUE
"ENSG00000024422.2749910","19","havana","exon",47726204,47726319,"+","ENSG00000024422","12","EHD2","ensembl_havana","protein_coding","ENST00000596225","5","EHD2-204","havana","nonsense_mediated_decay","cds_start_NF","2","1","ENSE00003224457","1",NA,NA,NA,TRUE
"ENSG00000025293.2583629","20","havana","exon",35845385,35845508,"+","ENSG00000025293","17","PHF20","ensembl_havana","protein_coding","ENST00000452270","5","PHF20-206","havana","nonsense_mediated_decay","mRNA_end_NF","5","5","ENSE00001726187","1",NA,NA,NA,TRUE
"ENSG00000025434.1548124","11","havana","exon",47259361,47259606,"+","ENSG00000025434","19","NR1H3","ensembl_havana","protein_coding","ENST00000419652","5","NR1H3-206","havana","nonsense_mediated_decay",NA,"4","4","ENSE00001691851","1",NA,NA,NA,TRUE
"ENSG00000025796.1005732","6","havana","exon",107955965,107956106,"-","ENSG00000025796","14","SEC63","ensembl_havana","protein_coding","ENST00000446496","1","SEC63-203","havana","nonsense_mediated_decay",NA,"4","2","ENSE00003630694","1",NA,NA,NA,TRUE
"ENSG00000025800.54309","1","havana","exon",32160619,32160703,"+","ENSG00000025800","14","KPNA6","ensembl_havana","protein_coding","ENST00000471599","5","KPNA6-204","havana","nonsense_mediated_decay",NA,"2","7","ENSE00001876681","1",NA,NA,NA,TRUE
"ENSG00000026025.1673859","10","havana","exon",17235846,17236379,"+","ENSG00000026025","16","VIM","ensembl_havana","protein_coding","ENST00000487938","5","VIM-206","havana","nonsense_mediated_decay",NA,"5","7","ENSE00001864976","1",NA,NA,NA,TRUE
"ENSG00000026025.1673879","10","havana","exon",17235169,17236379,"+","ENSG00000026025","16","VIM","ensembl_havana","protein_coding","ENST00000469543","5","VIM-203","havana","nonsense_mediated_decay",NA,"2","5","ENSE00001836784","1",NA,NA,NA,TRUE
"ENSG00000026036.2616944","20","havana","exon",63690294,63690441,"+","ENSG00000026036","22","RTEL1-TNFRSF6B","havana","protein_coding","ENST00000492259","6","RTEL1-TNFRSF6B-202","havana","nonsense_mediated_decay","basic","5","23","ENSE00003593427","1",NA,NA,NA,TRUE
"ENSG00000026103.1726572","10","havana","exon",89012199,89012335,"+","ENSG00000026103","22","FAS","ensembl_havana","protein_coding","ENST00000612663","5","FAS-217","havana","nonsense_mediated_decay",NA,"5","8","ENSE00001808922","2",NA,NA,NA,TRUE
"ENSG00000026297.1047731","6","havana","exon",166943019,166943809,"-","ENSG00000026297","15","RNASET2","ensembl_havana","protein_coding","ENST00000421787","5","RNASET2-204","havana","nonsense_mediated_decay",NA,"2","5","ENSE00001792388","1",NA,NA,NA,TRUE
"ENSG00000026652.1045251","6","havana","exon",161165577,161165713,"-","ENSG00000026652","15","AGPAT4","ensembl_havana","protein_coding","ENST00000436279","1","AGPAT4-204","havana","nonsense_mediated_decay",NA,"1","3","ENSE00001745144","1",NA,NA,NA,TRUE
"ENSG00000027697.1027662","6","havana","exon",137209850,137209984,"-","ENSG00000027697","14","IFNGR1","ensembl_havana","protein_coding","ENST00000643119","1","IFNGR1-206","havana","nonsense_mediated_decay","cds_start_NF",NA,"2","ENSE00003816731","1",NA,NA,NA,TRUE
"ENSG00000027847.910738","5","havana","exon",177607283,177607527,"+","ENSG00000027847","14","B4GALT7","ensembl_havana","protein_coding","ENST00000505433","5","B4GALT7-204","havana","nonsense_mediated_decay",NA,"5","3","ENSE00002047191","1",NA,NA,NA,TRUE
"ENSG00000028116.314025","2","ensembl_havana","exon",58058352,58058488,"+","ENSG00000028116","17","VRK2","ensembl_havana","protein_coding","ENST00000432057","2","VRK2-205","ensembl_havana","nonsense_mediated_decay",NA,"1","3","ENSE00001686356","1",NA,NA,NA,TRUE
"ENSG00000028203.1884430","12","havana","exon",95258245,95258287,"+","ENSG00000028203","18","VEZT","ensembl_havana","protein_coding","ENST00000548245","5","VEZT-215","havana","nonsense_mediated_decay",NA,"3","4","ENSE00003659690","1",NA,NA,NA,TRUE
"ENSG00000028203.1884482","12","havana","exon",95243941,95244009,"+","ENSG00000028203","18","VEZT","ensembl_havana","protein_coding","ENST00000551039","5","VEZT-226","havana","nonsense_mediated_decay",NA,"4","2","ENSE00003510314","1",NA,NA,NA,TRUE
"ENSG00000028203.1884500","12","havana","exon",95257154,95257239,"+","ENSG00000028203","18","VEZT","ensembl_havana","protein_coding","ENST00000551994","5","VEZT-234","havana","nonsense_mediated_decay",NA,"2","3","ENSE00003527233","1",NA,NA,NA,TRUE
"ENSG00000028277.2733626","19","havana","exon",42110701,42110756,"-","ENSG00000028277","21","POU2F2","ensembl_havana","protein_coding","ENST00000534559","5","POU2F2-213","havana","nonsense_mediated_decay",NA,"5","6","ENSE00002183697","1",NA,NA,NA,TRUE
"ENSG00000028310.791097","5","havana","exon",869245,869404,"-","ENSG00000028310","18","BRD9","ensembl_havana","protein_coding","ENST00000519112","5","BRD9-217","havana","nonsense_mediated_decay","cds_start_NF","3","5","ENSE00003619889","1",NA,NA,NA,TRUE
"ENSG00000028310.791108","5","havana","exon",869245,869404,"-","ENSG00000028310","18","BRD9","ensembl_havana","protein_coding","ENST00000518250","5","BRD9-215","havana","nonsense_mediated_decay","cds_start_NF","3","2","ENSE00003619889","1",NA,NA,NA,TRUE
"ENSG00000028310.791125","5","havana","exon",869245,869394,"-","ENSG00000028310","18","BRD9","ensembl_havana","protein_coding","ENST00000523139","5","BRD9-219","havana","nonsense_mediated_decay","cds_start_NF","3","4","ENSE00003475645","1",NA,NA,NA,TRUE
"ENSG00000028310.791142","5","havana","exon",869245,869394,"-","ENSG00000028310","18","BRD9","ensembl_havana","protein_coding","ENST00000518251","1","BRD9-216","havana","nonsense_mediated_decay","cds_start_NF","4","5","ENSE00003475645","1",NA,NA,NA,TRUE
"ENSG00000028528.2139405","15","havana","exon",64118203,64118244,"+","ENSG00000028528","15","SNX1","ensembl_havana","protein_coding","ENST00000380285","7","SNX1-202","havana","nonsense_mediated_decay",NA,"1","3","ENSE00002552141","1",NA,NA,NA,TRUE
"ENSG00000029363.1026567","6","havana","exon",136261030,136261115,"-","ENSG00000029363","17","BCLAF1","ensembl_havana","protein_coding","ENST00000533422","5","BCLAF1-217","havana","nonsense_mediated_decay","cds_start_NF","3","3","ENSE00002187650","1",NA,NA,NA,TRUE
"ENSG00000029363.1026620","6","havana","exon",136269141,136269303,"-","ENSG00000029363","17","BCLAF1","ensembl_havana","protein_coding","ENST00000527613","5","BCLAF1-206","havana","nonsense_mediated_decay",NA,"1","10","ENSE00003602738","1",NA,NA,NA,TRUE
"ENSG00000029363.1026709","6","havana","exon",136273963,136274189,"-","ENSG00000029363","17","BCLAF1","ensembl_havana","protein_coding","ENST00000534269","5","BCLAF1-219","havana","nonsense_mediated_decay",NA,"1","7","ENSE00002198579","1",NA,NA,NA,TRUE
"ENSG00000029363.1026754","6","havana","exon",136269141,136269303,"-","ENSG00000029363","17","BCLAF1","ensembl_havana","protein_coding","ENST00000532384","5","BCLAF1-216","havana","nonsense_mediated_decay",NA,"5","10","ENSE00003602738","1",NA,NA,NA,TRUE
"ENSG00000029363.1026785","6","havana","exon",136269141,136269303,"-","ENSG00000029363","17","BCLAF1","ensembl_havana","protein_coding","ENST00000530429","5","BCLAF1-212","havana","nonsense_mediated_decay",NA,"5","10","ENSE00003602738","1",NA,NA,NA,TRUE
"ENSG00000029364.2038362","14","havana","exon",69441832,69441972,"+","ENSG00000029364","12","SLC39A9","ensembl_havana","protein_coding","ENST00000628474","2","SLC39A9-211","havana","nonsense_mediated_decay",NA,"5","3","ENSE00003766183","1",NA,NA,NA,TRUE
"ENSG00000029364.2038431","14","havana","exon",69458363,69458729,"+","ENSG00000029364","12","SLC39A9","ensembl_havana","protein_coding","ENST00000555840","5","SLC39A9-207","havana","nonsense_mediated_decay","CCDS","2","7","ENSE00002461113","1",NA,NA,"CCDS9795",TRUE
"ENSG00000029534.1318221","8","havana","exon",41672354,41672529,"-","ENSG00000029534","20","ANK1","ensembl_havana","protein_coding","ENST00000518061","1","ANK1-207","havana","nonsense_mediated_decay","cds_start_NF","3","6","ENSE00002103566","1",NA,NA,NA,TRUE
"ENSG00000030419.442263","2","havana","exon",213097877,213097960,"-","ENSG00000030419","16","IKZF2","ensembl_havana","protein_coding","ENST00000453575","5","IKZF2-212","havana","nonsense_mediated_decay",NA,"1","3","ENSE00001701979","1",NA,NA,NA,TRUE
"ENSG00000030419.442283","2","havana","exon",213097877,213097960,"-","ENSG00000030419","16","IKZF2","ensembl_havana","protein_coding","ENST00000412444","5","IKZF2-204","havana","nonsense_mediated_decay",NA,"1","3","ENSE00001701979","1",NA,NA,NA,TRUE
"ENSG00000030419.442307","2","ensembl_havana","exon",213056566,213056744,"-","ENSG00000030419","16","IKZF2","ensembl_havana","protein_coding","ENST00000439848","5","IKZF2-208","ensembl_havana","nonsense_mediated_decay",NA,"1","4","ENSE00001768745","1",NA,NA,NA,TRUE
"ENSG00000030419.442325","2","havana","exon",213097877,213097960,"-","ENSG00000030419","16","IKZF2","ensembl_havana","protein_coding","ENST00000374326","7","IKZF2-203","havana","nonsense_mediated_decay",NA,"1","3","ENSE00001701979","1",NA,NA,NA,TRUE
"ENSG00000030419.442349","2","havana","exon",213021644,213021720,"-","ENSG00000030419","16","IKZF2","ensembl_havana","protein_coding","ENST00000431520","5","IKZF2-205","havana","nonsense_mediated_decay",NA,"1","6","ENSE00001655686","1",NA,NA,NA,TRUE
"ENSG00000030582.2418423","17","havana","exon",44350462,44350577,"+","ENSG00000030582","18","GRN","ensembl_havana","protein_coding","ENST00000586782","5","GRN-206","havana","nonsense_mediated_decay",NA,"5","6","ENSE00002761566","1",NA,NA,NA,TRUE
"ENSG00000031823.2640370","19","havana","exon",5935685,5935839,"-","ENSG00000031823","14","RANBP3","ensembl_havana","protein_coding","ENST00000592771","5","RANBP3-229","havana","nonsense_mediated_decay",NA,"1","5","ENSE00002915765","1",NA,NA,NA,TRUE
"ENSG00000031823.2640665","19","havana","exon",5933414,5933656,"-","ENSG00000031823","14","RANBP3","ensembl_havana","protein_coding","ENST00000588010","5","RANBP3-214","havana","nonsense_mediated_decay",NA,"5","5","ENSE00002921309","1",NA,NA,NA,TRUE
"ENSG00000031823.2640678","19","havana","exon",5976381,5976574,"-","ENSG00000031823","14","RANBP3","ensembl_havana","protein_coding","ENST00000585339","5","RANBP3-204","havana","nonsense_mediated_decay",NA,"4","2","ENSE00002836566","1",NA,NA,NA,TRUE
"ENSG00000031823.2640742","19","havana","exon",5950717,5950872,"-","ENSG00000031823","14","RANBP3","ensembl_havana","protein_coding","ENST00000587263","5","RANBP3-208","havana","nonsense_mediated_decay",NA,"5","4","ENSE00003612954","1",NA,NA,NA,TRUE
"ENSG00000032219.2025289","14","havana","exon",58303538,58303761,"+","ENSG00000032219","19","ARID4A","ensembl_havana","protein_coding","ENST00000431612","5","ARID4A-207","havana","nonsense_mediated_decay",NA,"1","4","ENSE00001615573","1",NA,NA,NA,TRUE
"ENSG00000033011.2218683","16","havana","exon",5071849,5072213,"+","ENSG00000033011","12","ALG1","ensembl_havana","protein_coding","ENST00000591822","5","ALG1-206","havana","nonsense_mediated_decay",NA,"1","1","ENSE00002790214","1",NA,NA,NA,TRUE
"ENSG00000033100.1183410","7","havana","exon",151236956,151237172,"+","ENSG00000033100","16","CHPF2","ensembl_havana","protein_coding","ENST00000465601","1","CHPF2-202","havana","nonsense_mediated_decay","cds_start_NF","3","3","ENSE00001919027","1",NA,NA,NA,TRUE
"ENSG00000033122.106864","1","havana","exon",70128538,70128795,"+","ENSG00000033122","20","LRRC7","ensembl_havana","protein_coding","ENST00000588515","5","LRRC7-206","havana","nonsense_mediated_decay","cds_start_NF","5","3","ENSE00002971066","1",NA,NA,NA,TRUE
"ENSG00000033122.106877","1","havana","exon",70128538,70128795,"+","ENSG00000033122","20","LRRC7","ensembl_havana","protein_coding","ENST00000609498","5","LRRC7-212","havana","nonsense_mediated_decay","cds_start_NF","5","2","ENSE00002971066","1",NA,NA,NA,TRUE
"ENSG00000033122.106890","1","havana","exon",70128538,70128795,"+","ENSG00000033122","20","LRRC7","ensembl_havana","protein_coding","ENST00000608815","5","LRRC7-210","havana","nonsense_mediated_decay","cds_start_NF","5","2","ENSE00002971066","1",NA,NA,NA,TRUE
"ENSG00000033122.106905","1","havana","exon",70128538,70128795,"+","ENSG00000033122","20","LRRC7","ensembl_havana","protein_coding","ENST00000608744","5","LRRC7-209","havana","nonsense_mediated_decay","cds_start_NF","5","2","ENSE00002971066","1",NA,NA,NA,TRUE
"ENSG00000033627.2409514","17","havana","exon",42510059,42510183,"+","ENSG00000033627","16","ATP6V0A1","ensembl_havana","protein_coding","ENST00000587510","5","ATP6V0A1-213","havana","nonsense_mediated_decay","cds_start_NF","4","4","ENSE00002857934","1",NA,NA,NA,TRUE
"ENSG00000033800.2145862","15","havana","exon",68087842,68087890,"+","ENSG00000033800","13","PIAS1","ensembl_havana","protein_coding","ENST00000564915","5","PIAS1-206","havana","nonsense_mediated_decay",NA,"5","3","ENSE00002594006","1",NA,NA,NA,TRUE
"ENSG00000033800.2145875","15","havana","exon",68057480,68057580,"+","ENSG00000033800","13","PIAS1","ensembl_havana","protein_coding","ENST00000562190","1","PIAS1-203","havana","nonsense_mediated_decay",NA,"3","2","ENSE00002586148","1",NA,NA,NA,TRUE
"ENSG00000033800.2145933","15","havana","exon",68187542,68188231,"+","ENSG00000033800","13","PIAS1","ensembl_havana","protein_coding","ENST00000563996","1","PIAS1-204","havana","nonsense_mediated_decay","cds_start_NF","5","2","ENSE00002583078","1",NA,NA,NA,TRUE
"ENSG00000034239.1324316","8","havana","exon",48729720,48729824,"-","ENSG00000034239","11","EFCAB1","ensembl_havana","protein_coding","ENST00000521701","5","EFCAB1-205","havana","nonsense_mediated_decay",NA,"1","3","ENSE00002107430","1",NA,NA,NA,TRUE
"ENSG00000034533.603475","3","havana","exon",131016990,131017049,"-","ENSG00000034533","11","ASTE1","ensembl_havana","protein_coding","ENST00000507978","5","ASTE1-206","havana","nonsense_mediated_decay",NA,"2","5","ENSE00002087888","1",NA,NA,NA,TRUE
"ENSG00000034533.603498","3","havana","exon",131024005,131024238,"-","ENSG00000034533","11","ASTE1","ensembl_havana","protein_coding","ENST00000504964","1","ASTE1-203","havana","nonsense_mediated_decay",NA,"3","3","ENSE00002066167","1",NA,NA,NA,TRUE
"ENSG00000035115.265424","2","havana","exon",230547,231191,"-","ENSG00000035115","22","SH3YL1","ensembl_havana","protein_coding","ENST00000479739","6","SH3YL1-222","havana","nonsense_mediated_decay",NA,"2","9","ENSE00001945985","1",NA,NA,NA,TRUE
"ENSG00000035499.818514","5","havana","exon",60688985,60689050,"-","ENSG00000035499","13","DEPDC1B","ensembl_havana","protein_coding","ENST00000512078","5","DEPDC1B-205","havana","nonsense_mediated_decay",NA,"2","2","ENSE00003511038","1",NA,NA,NA,TRUE
"ENSG00000035499.818547","5","havana","exon",60687725,60687838,"-","ENSG00000035499","13","DEPDC1B","ensembl_havana","protein_coding","ENST00000512452","1","DEPDC1B-206","havana","nonsense_mediated_decay",NA,"2","2","ENSE00002023541","1",NA,NA,NA,TRUE
"ENSG00000035664.2139131","15","havana","exon",63910700,63911216,"-","ENSG00000035664","11","DAPK2","ensembl_havana","protein_coding","ENST00000558064","1","DAPK2-204","havana","nonsense_mediated_decay",NA,"4","2","ENSE00002569946","1",NA,NA,NA,TRUE
"ENSG00000035681.1329505","8","havana","exon",58639968,58640102,"-","ENSG00000035681","9","NSMAF","ensembl_havana","protein_coding","ENST00000649465","1","NSMAF-218","havana","nonsense_mediated_decay",NA,NA,"3","ENSE00002092336","1",NA,NA,NA,TRUE
"ENSG00000035681.1329708","8","havana","exon",58637234,58637389,"-","ENSG00000035681","9","NSMAF","ensembl_havana","protein_coding","ENST00000518229","5","NSMAF-205","havana","nonsense_mediated_decay",NA,"4","3","ENSE00002102492","1",NA,NA,NA,TRUE
"ENSG00000035681.1329729","8","havana","exon",58639968,58640102,"-","ENSG00000035681","9","NSMAF","ensembl_havana","protein_coding","ENST00000518159","5","NSMAF-204","havana","nonsense_mediated_decay",NA,"3","3","ENSE00002092336","1",NA,NA,NA,TRUE
"ENSG00000035862.2484294","17","havana","exon",78855964,78857646,"-","ENSG00000035862","12","TIMP2","ensembl_havana","protein_coding","ENST00000592761","2","TIMP2-205","havana","nonsense_mediated_decay",NA,"1","3","ENSE00002811599","1",NA,NA,NA,TRUE
"ENSG00000035928.692984","4","havana","exon",39341487,39341665,"-","ENSG00000035928","16","RFC1","ensembl_havana","protein_coding","ENST00000512275","5","RFC1-213","havana","nonsense_mediated_decay",NA,"3","5","ENSE00002073559","1",NA,NA,NA,TRUE
"ENSG00000036257.456929","2","havana","exon",224556295,224556420,"-","ENSG00000036257","13","CUL3","ensembl_havana","protein_coding","ENST00000432260","2","CUL3-205","havana","nonsense_mediated_decay","cds_start_NF","3","2","ENSE00002236808","1",NA,NA,NA,TRUE
"ENSG00000036473.1209030","X","havana","exon",38373596,38373738,"+","ENSG00000036473","8","OTC","ensembl_havana","protein_coding","ENST00000643344","1","OTC-203","havana","nonsense_mediated_decay",NA,NA,"4","ENSE00003819565","1",NA,NA,NA,TRUE
"ENSG00000036530.2067609","14","havana","exon",99695432,99695474,"+","ENSG00000036530","9","CYP46A1","ensembl_havana","protein_coding","ENST00000554611","5","CYP46A1-204","havana","nonsense_mediated_decay",NA,"1","4","ENSE00001484158","1",NA,NA,NA,TRUE
"ENSG00000036565.1297190","8","ensembl_havana","exon",20148415,20148516,"-","ENSG00000036565","15","SLC18A1","ensembl_havana","protein_coding","ENST00000517776","5","SLC18A1-206","ensembl_havana","nonsense_mediated_decay",NA,"2","13","ENSE00003543352","1",NA,NA,NA,TRUE
"ENSG00000037897.1860730","12","havana","exon",57771974,57772116,"-","ENSG00000037897","17","METTL1","ensembl_havana","protein_coding","ENST00000553125","5","METTL1-208","havana","nonsense_mediated_decay",NA,"3","1","ENSE00002354866","1",NA,NA,NA,TRUE
"ENSG00000037897.1860733","12","havana","exon",57771480,57771605,"-","ENSG00000037897","17","METTL1","ensembl_havana","protein_coding","ENST00000553125","5","METTL1-208","havana","nonsense_mediated_decay",NA,"3","2","ENSE00002373387","1",NA,NA,NA,TRUE
"ENSG00000038219.682848","4","havana","exon",13623390,13626312,"-","ENSG00000038219","13","BOD1L1","ensembl_havana","protein_coding","ENST00000482713","1","BOD1L1-202","havana","nonsense_mediated_decay",NA,"5","2","ENSE00001816178","1",NA,NA,NA,TRUE
"ENSG00000038295.776664","4","havana","exon",165992804,165992922,"+","ENSG00000038295","8","TLL1","ensembl_havana","protein_coding","ENST00000509505","5","TLL1-205","havana","nonsense_mediated_decay",NA,"1","3","ENSE00002019517","1",NA,NA,NA,TRUE
"ENSG00000038295.776758","4","havana","exon",165919834,165919939,"+","ENSG00000038295","8","TLL1","ensembl_havana","protein_coding","ENST00000504560","5","TLL1-202","havana","nonsense_mediated_decay",NA,"3","2","ENSE00002079620","1",NA,NA,NA,TRUE
"ENSG00000039319.835640","5","havana","exon",80443794,80443920,"+","ENSG00000039319","17","ZFYVE16","ensembl_havana","protein_coding","ENST00000509558","1","ZFYVE16-204","havana","nonsense_mediated_decay","cds_start_NF","3","2","ENSE00002068630","1",NA,NA,NA,TRUE
"ENSG00000039560.802701","5","havana","exon",34757468,34757614,"+","ENSG00000039560","14","RAI14","ensembl_havana","protein_coding","ENST00000510319","5","RAI14-215","havana","nonsense_mediated_decay",NA,"4","3","ENSE00003683332","1",NA,NA,NA,TRUE
"ENSG00000039560.803028","5","havana","exon",34716055,34716221,"+","ENSG00000039560","14","RAI14","ensembl_havana","protein_coding","ENST00000515448","5","RAI14-227","havana","nonsense_mediated_decay",NA,"4","3","ENSE00002081583","1",NA,NA,NA,TRUE
"ENSG00000039560.803043","5","havana","exon",34757468,34757614,"+","ENSG00000039560","14","RAI14","ensembl_havana","protein_coding","ENST00000503222","5","RAI14-204","havana","nonsense_mediated_decay","mRNA_end_NF","4","3","ENSE00003683332","1",NA,NA,NA,TRUE
"ENSG00000039650.2761574","19","havana","exon",49866399,49866528,"-","ENSG00000039650","12","PNKP","ensembl_havana","protein_coding","ENST00000593946","5","PNKP-203","havana","nonsense_mediated_decay",NA,"1","2","ENSE00002977003","1",NA,NA,NA,TRUE
"ENSG00000039650.2761874","19","havana","exon",49865127,49865242,"-","ENSG00000039650","12","PNKP","ensembl_havana","protein_coding","ENST00000636214","1","PNKP-225","havana","nonsense_mediated_decay",NA,"5","4","ENSE00003794774","1",NA,NA,NA,TRUE
"ENSG00000039650.2761926","19","havana","exon",49866399,49866528,"-","ENSG00000039650","12","PNKP","ensembl_havana","protein_coding","ENST00000598020","3","PNKP-211","havana","nonsense_mediated_decay",NA,"3","3","ENSE00002977003","1",NA,NA,NA,TRUE
"ENSG00000040199.2300375","16","havana","exon",71640522,71641040,"-","ENSG00000040199","18","PHLPP2","ensembl_havana","protein_coding","ENST00000568004","5","PHLPP2-205","havana","nonsense_mediated_decay","cds_start_NF","1","14","ENSE00003627623","1",NA,NA,NA,TRUE
